audio,transcript
test_sample_1000_clean,ودكتور طبعا الدها أنفاجه
test_sample_1001_clean,بس قالوا كذا ازاي و كذا ازاي و كذا ازاي و كذا ازاي و كذا ازا
test_sample_1002_clean,يعني ياريت تديني فرصه بجيبها كده أتكلم على الصوت الصعيديه
test_sample_1003_clean,ده جرب بخور أه
test_sample_1004_clean,وصواترعوا دربيه البقعنه
test_sample_1005_clean,بصراحه ما ندبش عليهم عن تصديره القمسي يعني يمسي يعني يمسي يعني يمسي يعني يمسي يعني يمسي يعني يمسي يعني يمسي يعني يمسي يعني يمسي يعني يلا بينا
test_sample_1006_clean,يومها دي يروح أيام الجامعه رايحيه يخطب للمسادين
test_sample_1007_clean,لأ هي بتعمل محمود ميقصدش
test_sample_1008_clean,الخمسه اللي ناهد الكانون بالكلام دهيه أه كانون كانوا يقعدوا ي كتيروا إنت إتعملت دراسي
test_sample_1009_clean,و الله أنا لسه مشترك معاهم
test_sample_1010_clean,ده يلا بينا يلا بينا يلا بينا
test_sample_1011_clean,اتنين و خمسين ألف جنيه اتناس
test_sample_1012_clean,وطبعا
test_sample_1013_clean,ومعاه
test_sample_1015_clean,وإحنا موجودين على كل سرطي يا دكتوره
test_sample_1016_clean,المهم مستعزه منها
test_sample_1017_clean,
test_sample_1018_clean,الله ده بتاع الصعيد اللي هناك كنت أعرف مع وجهدي
test_sample_1019_clean,و الله مصر فيها خمسه و ستين دكتور بيعمل الأماليه دي والدكتوره اللي هي مش بطريقه لا يقعد عنه
test_sample_1020_clean,إم يعني دي أصل الكاربه عندي
test_sample_1021_clean,حضرتك أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه
test_sample_1022_clean,طب يلا بينا يلا نشرب كوبايتين عصير
test_sample_1023_clean,حبيبي معاك عرفت ارتاحه وقابله بدليلتي ما عرفتهاش
test_sample_1024_clean,ولما أتكلم أزمه بكلم أصدقائه من جامعة الإخوان المسيحيين يومين جولات ما إحنا لو جولنا محدش هيسألنا طب يعني إنت لو جولت محدش هيسديك يعني إيه
test_sample_1025_clean,بتاعته فخامة بخ طبعا ليس محللا و مش و مش عارف أتوقع بالشكل اللقائق علينا لكن لكن
test_sample_1026_clean,ما تتعملش مع إن كل اللي بيت كلم و كل اللي بيبان كلام يعني كان شخصيا ممكن يتكلم فيه شخص بيحبك جدا بيحبك جدا أه صباح التعليمات إنه هيعمل خمسه و عشرين علمت على الفيس ويدخل يشتري بيها معلش معلش معلش معلش
test_sample_1027_clean,دوله مش هيرفع من عمرك ميهمنيش أول عمرك ميليش أول عمرك ميهمنيش أول عمرك ميليش أول عمرك ميهمني
test_sample_1028_clean,إن أنا بقول للشعب بسيطه إم
test_sample_1030_clean,أنا جاتلي أنا بخمسه و عشرين سنه أنا جاتلي أنا بخمسه و عشرين سنه
test_sample_1031_clean,لكن لو جيت فإنت فإنت فإنت فإنت هتيجي تاخد على الأقل عزاء تمنتش الألف مصر و الله الاحت يعني و الله
test_sample_1032_clean,يا رب ما تحكم على مصر العربي لكن أنا من حجل إني أنزل ال ال المتعالي اللي عنده مؤسسة الرياسه وأنا أظن مصوله على إني لما أتكلم على مؤسسة الرياسه مجلس الإخوان المسلمين لأن أنا مش معادن للمستعاني اللي عند مؤسسة الرياسه وأنا أظن مصوله على إني لما أتكلم على مؤسسة الرياسه مجلس الإخوان المسلمين
test_sample_1033_clean,تنتظروا كمان إحنا كنا في الزمن بكري شويه
test_sample_1034_clean,صحيح الخميس العريش
