audio,transcript
test_sample_1000_clean,دكاتره طبعا قدها ألفاجه
test_sample_1001_clean,ماسك له جزئيه جزئيه جزئيه جزئيه جزئيه جزئيه جز
test_sample_1002_clean,يعني ياريت تديني فرصه لجيده كده أتكلم على السلطه الصعيديه
test_sample_1003_clean,ده جربي فودافون
test_sample_1004_clean,وهي والدي واخواتيرعه تدربين بقينا
test_sample_1005_clean,بصراحه مكدبش عليكم هل تبوظ تخبيله خالص يعني لا لا لا خالص يعني لا لا خالص يعني لا لا خالص يعني لا لا خالص يعني لا لا خالص يعني لا لا خالص يعني لا لا خالص يعني لا لا خالص يعني لا لا خالص يعني لا لا خالص يعني لا لا خالص يعني لا لا خالص يعني لا لا خالص يعني لا لا خالص يعني لا لا خالص يعني لا لا خالص يعني لا لا خالص يعني لا لا خالص يعني لا لا خالص يعني لا
test_sample_1006_clean,في يوم عليه <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1007_clean,لا هي بالتعليم محمود ميكسرش
test_sample_1008_clean,الخلوني اللي ناهد الكرنون بالكلاميديا أه والكلام ده الكنون قد اكتيب إنت إنت عامة
test_sample_1009_clean,لا والله أنا لسه بشتريت معهد
test_sample_1010_clean,لا لام لا لا لا لا لا لا لا لا لا لا
test_sample_1011_clean,متين وخمسين ألف جنيه في ناس
test_sample_1012_clean,سبعه
test_sample_1013_clean,ومعاه
test_sample_1015_clean,وإحنا موجودين على كل شروط يا دكتوره
test_sample_1016_clean,أه المهم مستأهل ذبونا
test_sample_1017_clean,
test_sample_1018_clean,الله ده بتاع الصعيد اللي هناك كنت أنا واقعي مع واجدي
test_sample_1019_clean,والله مثل فيها خمسه و ستين دكتور بيعمل للعمليه دي والدكتوره اللي هي مش بتروح
test_sample_1020_clean,إم يعني دي أصل الكهربا عندي
test_sample_1021_clean,عرضوا أيوه أه أه أه أه أه أه أه أه أه أه أه أه أه يعني أه أه أه أه أه أه أه أه أه أه أه أه أه أه
test_sample_1022_clean,طب يلا بينا نشرب كوبايتين عصير
test_sample_1023_clean,حبيبي معاك عرفت أرتاح وأهده وأبلا بدليتي معرفتهاش
test_sample_1024_clean,ولما أتكلم أذى بكلم أصدقائي من جماعة الإخوان المسلمين
test_sample_1025_clean,بتاعته <fil> <fil> <fil> <fil> <fil>
test_sample_1026_clean,مبتتعاملش مع إن كل اللي بيتكلم وكل اللي بيدي كلام يعني إنت شخصيا ممكن يبقي في شخص بيحبك جدا بيحبك جدا أه في واخد تعليمات إنه يعمل خمسه و عشرين
test_sample_1027_clean,دوله مش هيافعوني أمرك إني أمره أمرك إني أمره أمرك إني أمره أمرك إني أمره أمرك إن
test_sample_1028_clean,أنا بقول للشيعه لصوتي إم
test_sample_1030_clean,اللي جاتلك خمسه و عشرين سنه
test_sample_1031_clean,لكن لو جيت فإنت فإنت فإنت فإنت هتيجي تاخد على الأقل عزاء تمنتاشر ألف و مصر والله الاحتيار والله
test_sample_1032_clean,يا ربما تحكم على مصر بالعنف لكن أنا من الحج إن أنزل أنا من الحجر إني أنزل أنا من الحاج إن أنا ال الفكره الفكره المتعالي اللي عنده مؤسسة الرياسه وأنا أظن مصلره على إني لما أتكلم على مؤسسة الرياسه مجلس الإخوان المسلمين لأن أنا مش معادن
test_sample_1033_clean,انتظره كده إحنا كنا في زمن بكر شويه بكر
test_sample_1034_clean,صحيح الخميس العريس
test_sample_1035_clean,<laugh> <fil> <laugh> <fil> <laugh> <fil> <fil>
test_sample_1036_clean,هو رضي الله عنه
test_sample_1037_clean,بعد <fil> يعني إيه بدخولنا على
test_sample_1038_clean,إحنا مش على مصر على ميل لوحده
test_sample_1039_clean,وهي من أنا هفروقك
test_sample_1040_clean,واستخسروها في الخلافوني و يعني و اعتباروها نازله
test_sample_1041_clean,لا والله أسألك بجد لا ما
test_sample_1042_clean,يعني كله بتعرف إن أنا ناقصه
test_sample_1043_clean,الموجود ده لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا
test_sample_1045_clean,فلما السودان ومن قصدهم و لا الجوله و مقتله على فكره الجسديه دي ميدانه جابلي ثورة تونس طلعتها جابلي ثورة تونس أبويا
test_sample_1046_clean,قبلها و الشريعه ليكي ثابته ده كلام <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1047_clean,جالي تفصيل في الجراش حطه ميعرفش ستاشر
test_sample_1048_clean,معلش
test_sample_1049_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1050_clean,ابقوهم جابت ها
test_sample_1051_clean,كانت معاه هناك في الفكره يعني وساعدته
test_sample_1052_clean,معاهم أيوه يا برضو أنا عايز أعرف
test_sample_1053_clean,<fil> <fil> <fil> <fil> <fil> <fil> <
test_sample_1054_clean,مش عيان و لا ندالها
test_sample_1055_clean,و لذلك أنا أزعل مثلا لما يشتموا محمد الحسنين ليك يعني يعني هذا رجل
test_sample_1056_clean,نازل من الداخل من الداخل من الداخل من الداخل من الدا
test_sample_1057_clean,سوء تدبير
test_sample_1058_clean,ألاقي اتربي
test_sample_1014_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1029_clean,و أنا هجوم ب رشا مصدع ونشوف هيشدد من فينا
test_sample_1044_clean,السلام عليكم السلام عليه الصلاة والسلام
test_sample_1059_clean,الكتاب ده المقدمه بتاعته كلها كلها الراجل بيدافع عن نفسه ضد اللي اتفهموه بالذات <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <
test_sample_1074_clean,يعني يعني <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1089_clean,اللي واصله
test_sample_1104_clean,و <fil> و <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1119_clean,مستوي شبه المذيعه من الشهاده فبيختم مش حته و الأستاذه
test_sample_1134_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1149_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1164_clean,هي كانت مشوارها حاله
test_sample_1179_clean,وشخصية كسول
test_sample_1194_clean,يا إبراهيم الأبيض
test_sample_1060_clean,الله إيت شندله خياله فيه ده الفرص
test_sample_1061_clean,قالك البارودي ده بعد مصر <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1062_clean,أكثر ديك بتحبه عشان يسميها على اسمك
test_sample_1063_clean,<fil> <fil> <fil> <fil
test_sample_1064_clean,خلانيه طعم في الأكل الكليه
test_sample_1065_clean,إديت الخميس ولا الفرخه وكلها
test_sample_1066_clean,و لا أقول
test_sample_1067_clean,إوعى
test_sample_1068_clean,و سته وخمسين و سبعه و ستين و النكسه والناس اللي خرجت
test_sample_1069_clean,ده صعب وبياخد فيهج
test_sample_1070_clean,قول كل جماه
test_sample_1071_clean,فلم تجد لها لبلا و لم تجد لها ولدان أنا باكل و شرعي في الهوا باقي سقينا الزلا أو
test_sample_1072_clean,وكلهم ما جتش معاهم
test_sample_1073_clean,مصطفى رضا
test_sample_1075_clean,فكنا بينما مثلا كان فيه شويه برضو بيقعدوا يقولوا بالأركان ده هو
test_sample_1076_clean,لازم تعرف إنك إنت شافت شويه إم مخدتش بالك و ده كلام كيك الكتير يعني قال في الحكايه دي
test_sample_1077_clean,عن صلاح برضو عمل عمل معاها غنا وحركه و لا زمنيه سلاحيه
test_sample_1078_clean,لأنه كان بي أه في المجلس العسكري و كان بيقول في حياتنا البارك و كان بيجوم
test_sample_1079_clean,لا والله حضرتك أنا أول حاجه
test_sample_1080_clean,يعني الشنطه مكلمه إحنا هناخد الفروتتين دول عشان نعمل عليهم اختبار عشره
test_sample_1081_clean,قاله إيه هل عبد العظيم مع أنا بيقول لكذا وكذا وكذا واجبي قاله نقول
test_sample_1082_clean,وفرد العمليه فشلت
test_sample_1083_clean,يعني حتى اللون ده و حتى يوم التلات أحلى بعين تمنتاشر ألف وتسعمائة
test_sample_1084_clean,طلعت الأستاذ على الحمله الحديثه أول مره أشوفها تايلك وراجل راغي أيوه
test_sample_1085_clean,أه <fil> و بيخليك ت بول اللي جسيدا من أولها
test_sample_1086_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1087_clean,أنا كنت أعمل
test_sample_1088_clean,و حصل يوم التلات و الحفله يوم الجمعه في ذاكرة <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1090_clean,وارتفاعات الوقت إم وتاري عمرو يا ناس وكلما قولتها قبل النهارده
test_sample_1091_clean,أول حاجه إحنا عندنا يا أستاذه منى نماذج مشرفه
test_sample_1092_clean,محمود عامة في الرادي ملوش حد
test_sample_1093_clean,معايا و لا دفر الكليه أه و شاف واحده جميله من أنديكم بط عوضيه
test_sample_1094_clean,قالي بص يا دكتور إنت تيجي نعمل معايا كان واجب الصحه بخش لسه حالة وفاحصل إحنا مظبطين حفله من جميع في شهر مثلا أه إنت تيجي أبو بكر و ونعمل العمله الجميله مع بعض و و وأرجعه و كان أياميها كان أياميها في فترة حياة سينا
test_sample_1095_clean,التفاؤل اتفاق الأحفا
test_sample_1096_clean,و أنا كده خدت فينها و أنا كده خدت فياها و أنا كده خدت فياها و أنا كده خدت فياها و أنا كده خدت فياها و أنا
test_sample_1097_clean,<fil> <fil> <fil> <fil>
test_sample_1098_clean,أنا مش هطلع بره
test_sample_1099_clean,بترفرف جابلي ترحلي هنا بريشات حذانه وسداد الديونها
test_sample_1100_clean,تمام هايل هايل هايل هايل هايل هايل هايل 
test_sample_1101_clean,عارف البنات الحلوه دي هي الجدها مجديه
test_sample_1102_clean,بس رد ربوها
test_sample_1103_clean,بس يسمع محدش هيرضي يشتري منك
test_sample_1105_clean,وقعد عنه و مدام شاه للكفن عدى عنها أيوه
test_sample_1106_clean,أنا لا أحفظ الأسماء و الحكومه استلحل اشتتتنا على يجبكم وكلهم لا في تتكدل بلأتهم فكرا لكذب و تصويرا و تأليفه أتجمعوا لا يدو الله إم وتبعده لا يدن فيه فإحنا
test_sample_1107_clean,دينا عمل دوجر من جنه
test_sample_1108_clean,و رفض الكوبايه فيا كل دي
test_sample_1109_clean,حتى لو طلعوا ضد فور كده <fil>
test_sample_1110_clean,جابلك يا أستاذه موليه
test_sample_1111_clean,تقعد في الأيال تقعد تاكل تاكل
test_sample_1112_clean,أو يمسك هل في برنامج اه يعني <fil> يعني <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1113_clean,حضرتك إحنا هنبعتلك مشوار الصعيد
test_sample_1114_clean,ما هو ما عنديش الحكومه هتاخده أه إنت أحمر يعني بس
test_sample_1115_clean,أحرق نقطة الضوء أحلى له في الدول
test_sample_1116_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1117_clean,خلاص أه
test_sample_1118_clean,بص يا أستاذ خليني برضو نبول إن إحنا عايشين فاكره أه طبيعية الفتره لازم تبدأ إنت شخص ذكي جدا متاخدش الكلى على صدره
test_sample_1120_clean,إيه ده اللي حطها في التلاجه يعني مره
test_sample_1121_clean,حل الست هت غنينك قولتلهم حد غني لإيه قالي براحه
test_sample_1122_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> هتاخدي
test_sample_1123_clean,ربنا يوفقك ربنا يخليك التجربه لكن ما هو لما ربنا ولادي المثل الأعلى
test_sample_1124_clean,أنا ورايا أنا ورايا بالطياره
test_sample_1125_clean,و إنه يدخل
test_sample_1126_clean,بسم الله الرحمن الرحيم بسم الله الرحمن الرحيم
test_sample_1127_clean,الطيب متقدريش يتمسكه في فترة
test_sample_1128_clean,يا أخي أنا ماليش حاجه أقدس من من من الصلاه إن أنا أشده بيها الطهر بتاعها بليه إنه مش حب شهوري وإنه مش حب فعلي وإ إنه مش حامل فعلي وإن مش
test_sample_1129_clean,يههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه
test_sample_1130_clean,و على فكره <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1131_clean,وقولتلها أنا ما كنتش
test_sample_1132_clean,ينفع حبي كملت <fil> <fil> <fil>
test_sample_1133_clean,<fil> بطيع الله في ملاكوته بدعي زيدني من فضله من جوده وصلي وصوم و جاهد نفسي وصبر على بلا وأحمد و حندي هدوم لأنه لازج لوحده
test_sample_1135_clean,مركب مسمن الفرج على السماء
test_sample_1136_clean,زي ما أصحاب يعني اللي يسقط حصن مبارك يا أستاذ وائل اللي يوسف حسني إمبارح يسقط الجنه
test_sample_1137_clean,اللي جت
test_sample_1138_clean,لماذا تحجبونا الخمسه الأعلى قاسمتهم أروبتنا ودخلا بينكم سينما كما ألعام سيابقه طفله في صدري وعديكم يعادي يعادل
test_sample_1139_clean,أكبر واكلها
test_sample_1140_clean,
test_sample_1141_clean,بسم الله الرحمن الرحيم إلى مشاهدين قناة سعاده معلش اشتركوا في القناه و دعموناب لايت ومتنسوش تفعيل الجرث علشان يوصلكم لكل جديد ولسه اللي جايه أحمد
test_sample_1142_clean,
test_sample_1143_clean,أكتر الناس يعني <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fi
test_sample_1144_clean,ليه هو مين ناجح
test_sample_1145_clean,يوم تلاتين سته الغضبه في مصر الغاضبون في مصر هينزلوا
test_sample_1146_clean,<fil> <fil> <fil> <fil>
test_sample_1147_clean,مش كفايه الحيوان الولايات المتحده الأمريكيه
test_sample_1148_clean,حرام عليك يا ناصري ربنا مرتش في السلطه
test_sample_1150_clean,علاقتي كان السيئه الحمد لله الحمد لله ست مكسرتي لما أنا كوكا كان ليا تركيبه معينه
test_sample_1151_clean,إنت ف الدانيا وأنا فدانين
test_sample_1152_clean,تمام
test_sample_1153_clean,و إلى الغالب
test_sample_1154_clean,و بعدين يجين معاك كان
test_sample_1155_clean,لأنه في ناس كتيره في الصيدليات إيه اللي يعلى هو الظهور هيكون مع حضرتك
test_sample_1156_clean,أغلب من العيال
test_sample_1157_clean,والله يعني حاجه غريبه يعني يعني في حاجات في حاجات لازم الناس يعني ترجع
test_sample_1158_clean,والله اللي يشوف كلامك ده يجبل حدان اللي إحنا طيارين
test_sample_1159_clean,شايفه
test_sample_1160_clean,مشارك كفايه للدفاعا توجه للمواطنين مالي مجاش بنات أمانه
test_sample_1161_clean,مكنش جاله إنه يبدل شعبه ميقدرش فإحنا كل اللي بيتكلم فيه إن هذه ال هذه الأرض بكل سنواتها بكل خيراتها بكل اللي فيها
test_sample_1162_clean,يعني
test_sample_1163_clean,يا نهار أبيض قاله يعني تعالوا يعني تعالوا يعني فعالوا يعني تعالوا نتعالوا يعني فعالوا يعني تعالوا يا نهار أبيض إيجابيه زياده إم دي كتير لا لا لا ست لا لا لا لا لا لا
test_sample_1165_clean,غنوة وارده أه قبل النهارده إم أنا أيام ما قلت خلاص إم
test_sample_1166_clean,و ممكن تودي نفسك في ده هنا لا قدر الله
test_sample_1167_clean,أه <fil>
test_sample_1168_clean,أشياء المره
test_sample_1169_clean,ودي غزه
test_sample_1170_clean,الحاج جماله الحدي لغويا هو أن يقصد الشخص مكان بحيث جماله الحجه لغويه هو أن يقصد الشخص مكان بلا الحجر لغويه هو أن يقصد الشخص مكان بحيث جماله الحجه لغويه هو أن يقصد الشخص مكان بحيث جماله الحجه لغويه هو أن يقصد الشخص مكان بلا الحجر لغويه هو أن يقصد الشخص مكان بحيث جماله الحجه لغويه هو أن يقصد الشخص مكان بلا الحجر لغويه هو أن يقصد الشخص مكان به
test_sample_1171_clean,سامحيني يا بنتي
test_sample_1172_clean,إحناوا جايين في أرضي جابت عمي
test_sample_1173_clean,وعملت بيه عبد الرحمن الأمنه
test_sample_1174_clean,أضربها
test_sample_1175_clean,لا إشتريت
test_sample_1176_clean,و الله أعلم برضو عشان ما بقيش أنا بلاقي كلام أنا مش أنا مش واثق من نقطه أنا معلش إذا كان هو بالفعل إدى تعليمات بالإضافه إلى أيا كان أنا مش أنا مش داخل في في الحدث بشكل مباشرة يعني أيا كان أنا مش أنا مش داخل في في الحدث بشكل مباشرة يعني أيا كان أنا مش أنا مش داخل في في الحدث بشكل مباشرة يعني أيا كان أنا مش أنا مش داخل في في الحدث بشكل مباشرة يعني أيا كان أنا مش أنا مش داخل في في الحدث بشكل مباشرة
test_sample_1177_clean,مفيش حاله غير إني أحط طنطور شنط الهالي والسدي فالعاصير وفركش للجواز
test_sample_1178_clean,و البنات النهارده في النهايه بنوصل فوب التلاتين سنه ومش بدل ما تتجوز
test_sample_1180_clean,نور ده كل اللي موجود البنات
