audio,transcript
test_sample_1000_clean,الدكور طب على الدكه الفايده
test_sample_1001_clean,بسألجاز كذا كذا كذا كذا كذا كذا كذا كذا كذا كذا و كذا كذا كذا كذا كذا كذا كذا كذا كذا كذا كذا كذا كذا كذا كذا و
test_sample_1002_clean,يعني ياريت تديني فرصه تجيبيها كده اتكلم على الصيدليه
test_sample_1003_clean,ده جرب بيخون أه
test_sample_1004_clean,ولدور قوات رهوب ده لبل بقي عيني
test_sample_1005_clean,بصراحه أو مدبولي عليه الصلاة والسلام عليه الصلاة والسلام عليه الصلاة والسلام عليه الصلاة والسلام عليه الصلاة والسلام عليه الصلاة والسلام عليه الصلاة والسلام عليه الصلاة والسلام
test_sample_1006_clean,الحيومه دي يروح أيام الجامعه رايحين يخطب للمسادين
test_sample_1007_clean,لأ هي بتتعمل محمود ميقصدش
test_sample_1008_clean,الخانه اللي ماله بالكامل بالكلام دي أه كانون ده كان يقول عليه كتير إنت إبدعام تدراتي
test_sample_1009_clean,و الله ما هو ده لسه مشتر دماغهم
test_sample_1010_clean,<fil> <fil> 
test_sample_1011_clean,أه اتنين و خمسين ألف جنيه اتناس
test_sample_1012_clean,وطبعا
test_sample_1013_clean,ومعاه
test_sample_1015_clean,وإحنا موجين على كل شروط كانت التوره
test_sample_1016_clean,أه المهم استأذنونا
test_sample_1017_clean,
test_sample_1018_clean,الله ده بتاع الصعيد اللي هناك كنتروااء المعواد دي
test_sample_1019_clean,و الله مثل فيها خمسه و ستين دكتور بإم العمليه دي للدكتوره اللي ايش بطروح لليواد أمين
test_sample_1020_clean,يعني دي أصل الكهربا عندي
test_sample_1021_clean,الأربعين أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه
test_sample_1022_clean,طب يلا بينا نشرك كوبايتين عصير
test_sample_1023_clean,حبيبي معاك عرفت ارتاح وقاعده و قبل الدليتي معرفتهاش
test_sample_1024_clean,ولما أتكلم أذى ما كلم أصدقائي من جماعة الإخواني المسيحيين يوم ما إحنا لو جينا محدش هيستفيد هيساعدينا طب يعني إنت لو جبت محدش هيسديك يعني إيه
test_sample_1025_clean,بتاعته فا هيعمل الدخ طبعا ليس محللا و مش و مش عارف أتوقع بالشكل اللائق على لكن لكن
test_sample_1026_clean,ما تتعملش مع إن كل اللي بيت كلم و كل اللي بيت جال كلام يعني كأنكش شخصيا ممكن ييجي في شخص بيحبك جدا بيحبك جدا أه
