ID,wav,words,length
adapt_sample_0_clean,../data/adapt/adapt_sample_0_clean.wav,شوفلنا المشوار ده يا حج,1.632
adapt_sample_1_clean,../data/adapt/adapt_sample_1_clean.wav,لأ للأسف دكتوره واحده بس بتعمل العمليه ديت عندنا في المحافظه,4.512
adapt_sample_2_clean,../data/adapt/adapt_sample_2_clean.wav,والراجل تبصله يعني إبن زمنه,5.7208125
adapt_sample_3_clean,../data/adapt/adapt_sample_3_clean.wav,و أنت كيف عرفته أبترل يا عمي,2.64
adapt_sample_4_clean,../data/adapt/adapt_sample_4_clean.wav,ميعرفوش حاجه عن السوبر أه غير إنه لب,3.384
adapt_sample_5_clean,../data/adapt/adapt_sample_5_clean.wav,أه نمره اتنين يوم الجمعه بيجولنا البنات,10.8146875
adapt_sample_6_clean,../data/adapt/adapt_sample_6_clean.wav,خربت بيتنا يا وكلاهم,2.352
adapt_sample_7_clean,../data/adapt/adapt_sample_7_clean.wav,وبعدين واد ولا بت ما تفرقش المهم الربايه الزينه,4.8
adapt_sample_8_clean,../data/adapt/adapt_sample_8_clean.wav,واترمت طبعا,3.1608125
adapt_sample_9_clean,../data/adapt/adapt_sample_9_clean.wav,الله يبعد عنك ولاد الحرام,23.472
adapt_sample_10_clean,../data/adapt/adapt_sample_10_clean.wav,إنت تكبر يا خميس عشان ناكلك,3.168
adapt_sample_11_clean,../data/adapt/adapt_sample_11_clean.wav,بتحطها على وشها,1.68
adapt_sample_12_clean,../data/adapt/adapt_sample_12_clean.wav,أه عندهم طعم,2.690625
adapt_sample_13_clean,../data/adapt/adapt_sample_13_clean.wav,مرحبا يا أستاذ,0.96
adapt_sample_14_clean,../data/adapt/adapt_sample_14_clean.wav,يعني لغاية دلوقتي جيل للستات ما زال فاعلا في الحياه,3.7355
adapt_sample_15_clean,../data/adapt/adapt_sample_15_clean.wav,بعد الشر عليك يابا,8.208
adapt_sample_16_clean,../data/adapt/adapt_sample_16_clean.wav,سلام عليكم,10.704
adapt_sample_17_clean,../data/adapt/adapt_sample_17_clean.wav,هي هي خمسه وعشرين يناير دي مش كانت ثوره من الناس,6.072
adapt_sample_18_clean,../data/adapt/adapt_sample_18_clean.wav,عايزكم تعزقوا الفدان في يوم واحد,2.928
adapt_sample_19_clean,../data/adapt/adapt_sample_19_clean.wav,عشان يبقى خلصت ضميري,2.64
adapt_sample_20_clean,../data/adapt/adapt_sample_20_clean.wav,اللي طالع بيهم السما,2.04
adapt_sample_21_clean,../data/adapt/adapt_sample_21_clean.wav,إنسانيه عاليه وفيها قرب قولتلها على كل حال أمي هنا أصلي قالتلي أمك هنا نفسي أشوفها بقى قولتلها خلاص تعالي بكره اتغدي معانا و تعرفي فاطمه قنديل جت في وسط ما إحنا بنعمل إيه البريق بتاعها,27.5330625
adapt_sample_22_clean,../data/adapt/adapt_sample_22_clean.wav,أهلا وسهلا بخميس وجمعه,2.52
adapt_sample_23_clean,../data/adapt/adapt_sample_23_clean.wav,إنت الحمد لله إنك جيتني أنا الأول مروحتش لحد غيري لأن فعلا الخير ده مش أي حد يعني,5.184
adapt_sample_24_clean,../data/adapt/adapt_sample_24_clean.wav,علاقة من هؤلاء الذين غم واخد بالك اللي بي اللي بي,6.739625
adapt_sample_25_clean,../data/adapt/adapt_sample_25_clean.wav,إحنا أهم حاجه نخليها تدبح الفروجه وأكلهم وآكلها أنا,5.52
adapt_sample_26_clean,../data/adapt/adapt_sample_26_clean.wav,يعني دلوقتي برضو في حاجه أنا عايز أتكلم عنها حاجه ضروريه أه دي في جميع المحافظات مش في الصعيد بس,4.944
adapt_sample_27_clean,../data/adapt/adapt_sample_27_clean.wav,هو في غير عمك اللي بيسمم بدني بحديثه الماسخ,4.728
adapt_sample_28_clean,../data/adapt/adapt_sample_28_clean.wav,والله انتي بنت أبوكي صح,2.688
adapt_sample_29_clean,../data/adapt/adapt_sample_29_clean.wav,صلتها بالحياه أه,2.899625
adapt_sample_30_clean,../data/adapt/adapt_sample_30_clean.wav,سهرة كنا سهرانينها في الرحاب زمان و حد قاعد بيسجللي صوت أه و سجل قصيده إمسكي إمسكي لي في حفله لا و بص عشان برضو تبقي عارف الوشايه رايحه إزاي بص بقى,14.376
